# PHCEP: Photonic Heterogeneous Compute Emulation Platform
# Experimental Laser Driver Characterization Data
# Test Date: 2025-11-08 17:25:26
# Test Protocol: Laser Driver Performance Characterization
# Units: SI base units unless otherwise specified
#
test_type,bias_current_mA,modulation_current_mA,frequency_Hz,temperature_K,supply_voltage_V,optical_power_mW,modulation_response_dB,rise_time_ps,fall_time_ps,rin_dB_Hz,total_power_W,driver_efficiency,threshold_exceedance
dc_characterization,0.0,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-20.0
dc_characterization,2.0408163265306123,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.036734693877551024,0.1,-17.959183673469386
dc_characterization,4.081632653061225,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.07346938775510205,0.1,-15.918367346938776
dc_characterization,6.122448979591837,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.11020408163265308,0.1,-13.877551020408163
dc_characterization,8.16326530612245,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.1469387755102041,0.1,-11.83673469387755
dc_characterization,10.204081632653061,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.18367346938775508,0.1,-9.795918367346939
dc_characterization,12.244897959183675,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.22040816326530616,0.1,-7.755102040816325
dc_characterization,14.285714285714286,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.2571428571428572,0.1,-5.7142857142857135
dc_characterization,16.3265306122449,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.2938775510204082,0.1,-3.6734693877551017
dc_characterization,18.367346938775512,0.0,0.0,293,3.3,0.0,0.0,0.0,0.0,0.0,0.3031328724540532,0.1090651245513042,-1.632653061224488
dc_characterization,20.408163265306122,0.0,0.0,293,3.3,0.1224489795918366,0.0,0.0,0.0,0.0,0.30614100522131493,0.1199927263941491,0.408163265306122
dc_characterization,22.448979591836736,0.0,0.0,293,3.3,0.7346938775510207,0.0,0.0,0.0,0.0,0.309168280753489,0.13069957618816985,2.4489795918367356
