wavelength_nm,power_dBm,taper_length_um,taper_id,timestamp
1500.0,-25.360366036447836,5,taper_5um,2025-10-04T21:40:17.057268
1500.5,-25.275176851680072,5,taper_5um,2025-10-04T21:40:17.057268
1501.0,-25.26906674366304,5,taper_5um,2025-10-04T21:40:17.057268
1501.5,-25.474681055849217,5,taper_5um,2025-10-04T21:40:17.057268
1502.0,-25.43960321091902,5,taper_5um,2025-10-04T21:40:17.057268
1502.5,-25.352543028142165,5,taper_5um,2025-10-04T21:40:17.057268
1503.0,-25.245293828983662,5,taper_5um,2025-10-04T21:40:17.057268
1503.5,-25.347085428806547,5,taper_5um,2025-10-04T21:40:17.057268
1504.0,-25.570369253133546,5,taper_5um,2025-10-04T21:40:17.057268
1504.5,-25.375871913106696,5,taper_5um,2025-10-04T21:40:17.057268
1505.0,-25.383838285222264,5,taper_5um,2025-10-04T21:40:17.057268
1505.5,-25.478773994431094,5,taper_5um,2025-10-04T21:40:17.057268
1506.0,-25.32035250949552,5,taper_5um,2025-10-04T21:40:17.057268
1506.5,-25.395693184227884,5,taper_5um,2025-10-04T21:40:17.057268
1507.0,-25.4974935648766,5,taper_5um,2025-10-04T21:40:17.057268
1507.5,-25.39692221046407,5,taper_5um,2025-10-04T21:40:17.057268
1508.0,-25.420155306168095,5,taper_5um,2025-10-04T21:40:17.057268
1508.5,-25.538860817969624,5,taper_5um,2025-10-04T21:40:17.057268
1509.0,-25.411101584731416,5,taper_5um,2025-10-04T21:40:17.057268
1509.5,-25.429493895087017,5,taper_5um,2025-10-04T21:40:17.057268
1510.0,-25.392470780275282,5,taper_5um,2025-10-04T21:40:17.057268
1510.5,-25.518675151063224,5,taper_5um,2025-10-04T21:40:17.057268
1511.0,-25.557579059124848,5,taper_5um,2025-10-04T21:40:17.057268
1511.5,-25.336433199891065,5,taper_5um,2025-10-04T21:40:17.057268
1512.0,-25.428644286907563,5,taper_5um,2025-10-04T21:40:17.057268
1512.5,-25.365263573814236,5,taper_5um,2025-10-04T21:40:17.057268
1513.0,-25.51057000117371,5,taper_5um,2025-10-04T21:40:17.057268
1513.5,-25.37874132599476,5,taper_5um,2025-10-04T21:40:17.057268
1514.0,-25.298815805640363,5,taper_5um,2025-10-04T21:40:17.057268
1514.5,-25.65637169831361,5,taper_5um,2025-10-04T21:40:17.057268
1515.0,-25.51371748500502,5,taper_5um,2025-10-04T21:40:17.057268
1515.5,-25.490539095132434,5,taper_5um,2025-10-04T21:40:17.057268
1516.0,-25.381831688672623,5,taper_5um,2025-10-04T21:40:17.057268
1516.5,-25.421596757056108,5,taper_5um,2025-10-04T21:40:17.057268
1517.0,-25.347094526010796,5,taper_5um,2025-10-04T21:40:17.057268
1517.5,-25.443128080047387,5,taper_5um,2025-10-04T21:40:17.057268
1518.0,-25.43165292074645,5,taper_5um,2025-10-04T21:40:17.057268
1518.5,-25.333438141590477,5,taper_5um,2025-10-04T21:40:17.057268
1519.0,-25.496043209235776,5,taper_5um,2025-10-04T21:40:17.057268
1519.5,-25.24023257814164,5,taper_5um,2025-10-04T21:40:17.057268
1520.0,-25.49222289879348,5,taper_5um,2025-10-04T21:40:17.057268
1520.5,-25.512451449415604,5,taper_5um,2025-10-04T21:40:17.057268
1521.0,-25.429512628585464,5,taper_5um,2025-10-04T21:40:17.057268
1521.5,-25.474961568317458,5,taper_5um,2025-10-04T21:40:17.057268
1522.0,-25.29806810944991,5,taper_5um,2025-10-04T21:40:17.057268
1522.5,-25.325525377131093,5,taper_5um,2025-10-04T21:40:17.057268
1523.0,-25.365157097686833,5,taper_5um,2025-10-04T21:40:17.057268
1523.5,-25.420248584052995,5,taper_5um,2025-10-04T21:40:17.057268
1524.0,-25.45649998917799,5,taper_5um,2025-10-04T21:40:17.057268
1524.5,-25.319128089420317,5,taper_5um,2025-10-04T21:40:17.057268
1525.0,-25.409495806550034,5,taper_5um,2025-10-04T21:40:17.057268
1525.5,-25.578510777054845,5,taper_5um,2025-10-04T21:40:17.057268
1526.0,-25.343799244787512,5,taper_5um,2025-10-04T21:40:17.057268
1526.5,-25.39042956207412,5,taper_5um,2025-10-04T21:40:17.057268
1527.0,-25.33874443619333,5,taper_5um,2025-10-04T21:40:17.057268
1527.5,-25.455274783051898,5,taper_5um,2025-10-04T21:40:17.057268
1528.0,-25.37092031753958,5,taper_5um,2025-10-04T21:40:17.057268
1528.5,-25.23634249823882,5,taper_5um,2025-10-04T21:40:17.057268
1529.0,-25.3713932087294,5,taper_5um,2025-10-04T21:40:17.057268
1529.5,-25.40450187953964,5,taper_5um,2025-10-04T21:40:17.057268
1530.0,-25.34969206262639,5,taper_5um,2025-10-04T21:40:17.057268
1530.5,-25.371581906945494,5,taper_5um,2025-10-04T21:40:17.057268
1531.0,-25.525146882306974,5,taper_5um,2025-10-04T21:40:17.057268
1531.5,-25.302284830468828,5,taper_5um,2025-10-04T21:40:17.057268
1532.0,-25.46215481318168,5,taper_5um,2025-10-04T21:40:17.057268
1532.5,-25.223633012553297,5,taper_5um,2025-10-04T21:40:17.057268
1533.0,-25.409633399622713,5,taper_5um,2025-10-04T21:40:17.057268
1533.5,-25.34097890069215,5,taper_5um,2025-10-04T21:40:17.057268
1534.0,-25.272527449170997,5,taper_5um,2025-10-04T21:40:17.057268
1534.5,-25.49788775960311,5,taper_5um,2025-10-04T21:40:17.057268
1535.0,-25.437035060087155,5,taper_5um,2025-10-04T21:40:17.057268
1535.5,-25.349894768638997,5,taper_5um,2025-10-04T21:40:17.057268
1536.0,-25.307275605718335,5,taper_5um,2025-10-04T21:40:17.057268
1536.5,-25.421650120539518,5,taper_5um,2025-10-04T21:40:17.057268
1537.0,-25.446566130046836,5,taper_5um,2025-10-04T21:40:17.057268
1537.5,-25.35193841998146,5,taper_5um,2025-10-04T21:40:17.057268
1538.0,-25.488102276559456,5,taper_5um,2025-10-04T21:40:17.057268
1538.5,-25.252853863435544,5,taper_5um,2025-10-04T21:40:17.057268
1539.0,-25.47424240879301,5,taper_5um,2025-10-04T21:40:17.057268
1539.5,-25.525906187512756,5,taper_5um,2025-10-04T21:40:17.057268
1540.0,-25.45773108222674,5,taper_5um,2025-10-04T21:40:17.057268
1540.5,-25.325444666052825,5,taper_5um,2025-10-04T21:40:17.057268
1541.0,-25.340831094525292,5,taper_5um,2025-10-04T21:40:17.057268
1541.5,-25.516873841860516,5,taper_5um,2025-10-04T21:40:17.057268
1542.0,-25.35501007615702,5,taper_5um,2025-10-04T21:40:17.057268
1542.5,-25.512138073455134,5,taper_5um,2025-10-04T21:40:17.057268
1543.0,-25.42054706507786,5,taper_5um,2025-10-04T21:40:17.057268
1543.5,-25.457482855981738,5,taper_5um,2025-10-04T21:40:17.057268
1544.0,-25.444544313345165,5,taper_5um,2025-10-04T21:40:17.057268
1544.5,-25.478551417580377,5,taper_5um,2025-10-04T21:40:17.057268
1545.0,-25.33333430789648,5,taper_5um,2025-10-04T21:40:17.057268
1545.5,-25.51145204157747,5,taper_5um,2025-10-04T21:40:17.057268
1546.0,-25.491297228033353,5,taper_5um,2025-10-04T21:40:17.057268
1546.5,-25.158413425904726,5,taper_5um,2025-10-04T21:40:17.057268
1547.0,-25.580768590980487,5,taper_5um,2025-10-04T21:40:17.057268
1547.5,-25.451574735154693,5,taper_5um,2025-10-04T21:40:17.057268
1548.0,-25.225546815589336,5,taper_5um,2025-10-04T21:40:17.057268
1548.5,-25.377073235323607,5,taper_5um,2025-10-04T21:40:17.057268
1549.0,-25.44931318650791,5,taper_5um,2025-10-04T21:40:17.057268
1549.5,-25.376939775366072,5,taper_5um,2025-10-04T21:40:17.057268
1550.0,-25.367552166875004,5,taper_5um,2025-10-04T21:40:17.057268
1550.5,-25.495498542616282,5,taper_5um,2025-10-04T21:40:17.057268
1551.0,-25.419388629994852,5,taper_5um,2025-10-04T21:40:17.057268
1551.5,-25.482932435946083,5,taper_5um,2025-10-04T21:40:17.057268
1552.0,-25.022401731243068,5,taper_5um,2025-10-04T21:40:17.057268
1552.5,-25.43428448167035,5,taper_5um,2025-10-04T21:40:17.057268
1553.0,-25.457107770594504,5,taper_5um,2025-10-04T21:40:17.057268
1553.5,-25.284596378291464,5,taper_5um,2025-10-04T21:40:17.057268
1554.0,-25.219748541270445,5,taper_5um,2025-10-04T21:40:17.057268
1554.5,-25.388456397663358,5,taper_5um,2025-10-04T21:40:17.057268
1555.0,-25.192504969399938,5,taper_5um,2025-10-04T21:40:17.057268
1555.5,-25.320995541105525,5,taper_5um,2025-10-04T21:40:17.057268
1556.0,-25.340754316850486,5,taper_5um,2025-10-04T21:40:17.057268
1556.5,-25.464825315945998,5,taper_5um,2025-10-04T21:40:17.057268
1557.0,-25.187593992915446,5,taper_5um,2025-10-04T21:40:17.057268
1557.5,-25.372259205589792,5,taper_5um,2025-10-04T21:40:17.057268
1558.0,-25.267165756912902,5,taper_5um,2025-10-04T21:40:17.057268
1558.5,-25.37830612061826,5,taper_5um,2025-10-04T21:40:17.057268
1559.0,-25.195261108906056,5,taper_5um,2025-10-04T21:40:17.057268
1559.5,-25.409297485891976,5,taper_5um,2025-10-04T21:40:17.057268
1560.0,-25.212031952523986,5,taper_5um,2025-10-04T21:40:17.057268
1560.5,-25.337219608417893,5,taper_5um,2025-10-04T21:40:17.057268
1561.0,-25.3791965382262,5,taper_5um,2025-10-04T21:40:17.057268
